system_id,dataSource,artUrl,artDate,artTitle,artContent,sub_media
1,ltn,https://ec.ltn.com.tw/article/paper/1623579,2023-12-30 21:30:00,習專制強推共富 人才錢財「潤」出國,"中國房地產市場低迷，經濟復甦未如預期。圖為北京市東城區一處街邊相連著的3家店面都空置未使用。（中央社資料照）編譯盧永山／特譯中國成長前景黯淡，美中關係持續緊繃，在此背景下，中國國家主席習近平不僅縮緊對政經社會的控制，又推動「共同富裕」政策，導致中國經濟慘兮兮，越來越多中國的人才與富人帶著大量資金「潤」（run）出國。「我不想生活在恐懼之下」36歲百度AI專家出走英國曾在百度與阿里巴巴的人工智慧（AI）部門工作，現年三十六歲的陳亮時（音譯）表示：「我離開中國是因為我不喜歡那裡的社會和政治環境，我不會再回去，除非中國變成一個民主國家、除非中國人民不再生活在恐懼之下。」由於中國全國人大在二○一八年通過修憲，取消國家主席任期制，讓習近平可以無限期留任掌權，陳亮時被迫在二○二○年初做出離開中國的決定，現在他在Meta（臉書母公司）的倫敦分公司任職。紐時：今年前10月中國15.5兆資金外流除了人才流失，資金也源源不斷撤離中國。儘管要從中國合法把資金轉移到海外受到嚴格的限制，但根據《紐約時報》報導，二○二三年每月有五百億美元資金透過各種方式流出中國，主要來自中國富有家庭與民營企業，這意味二○二三年前十個月，中國可能有高達五千億美元（十五．五兆台幣）的資金外流。新加坡成為中國外流富人和資金的主要落腳處。新加坡之所以能吸引中國富人與資金，主要因為距離很近、低稅率和大量說華語的人口。根據新加坡金管局統計，在中國富人推動下，新加坡家族辦公室的數量從二○二○年的四百家，增至二○二二年底的一一○○家，二○二三年仍持續增加。國際房地產顧問公司「居外IQI」表示，預計未來二年將有超過七十萬名中國富人離開中國；包括澳洲、加拿大、英國、日本、甚至杜拜，都是中國富人熱門的移民置產地點。 
    一手掌握經濟脈動",ec
2,ltn,https://ec.ltn.com.tw/article/breakingnews/4535539,2023-12-29 04:42:30,日經 : 台灣投資轉向 中國佔比降至幾十年來最低,"台積電德國廠在今年8月宣布落腳德勒斯登，台積電對於德國廠將規劃34億美元的投資額。（路透）
高佳菁／核稿編輯
〔財經頻道／綜合報導〕以往中國是台商大舉投資的地方，隨著中國經濟疲軟和地緣政治緊張，國際品牌廠陸續撤出中國，台商也跟隨供應鏈腳步轉出。《日經亞洲》報導，2023年，台灣對中國的投資驟降至台灣對外直接投資總額的10%多一點，這是幾十年來的最低比例，而美國、德國的投資則快速增長。
根據台灣官方數據顯示，台灣今年前11月批准的外國直接投資年增87%、達到257億美元（約新台幣7888億元），而對中國的投資下降了34%、至29億美元（約新台幣890億元），僅佔總數的12% 。
日媒報導，台灣在中國的支出，自2010年的84%高峰開始下滑，來到2022年則大幅下降、佔投資總額34%，而今年的投資總額，預計將不到1999年以來最低點28%的一半。
台灣大幅減少對中國投資，將投資重心移轉至美國與德國。累計今年前11月，台灣對美國直接投資成長了9倍、達到96億美元（約新台幣2948億元）、佔總投資的37%。台灣對美國的投資，預計約為中國的3倍，這是自1993年開始，台灣允許對中國直接投資以來，美國首次位居榜首。
在德國投資部分，因台積電（2330）在德國設立新的晶片工廠帶動，德國投資成長了25倍、達到39億美元（約新台幣1197億元）。光是對德國的投資，也一舉超越投資中國的數字。
台灣經濟研究院孫明德表示，只要中美關係持續緊張，台灣對中國投資將會持續下降。

    一手掌握經濟脈動",ec
3,ltn,https://ec.ltn.com.tw/article/breakingnews/4509660,2023-12-31 23:37:24,LTN經濟通》AI始料未及？宮鬥劇峰回路轉,"OpenAI執行長奧特曼在11月17日遭董事會解僱，隨後在短短5天後回歸，OpenAI內部宮鬥，引起全球關注。（美聯社資料照）
奧特曼從開除到回歸 只花5天
歐祥義／核稿編輯
〔財經頻道／綜合報導〕OpenAI執行長奧特曼（Sam Altman）在11月17日遭董事會解僱，掀起軒然大波，大批員工威脅要離職，投資人也考慮提告董事會，讓OpenAI態度急轉彎，在開除奧特曼不到1天後，重新商議讓奧特曼回鍋，在「宮鬥」爆發5天後，OpenAI宣佈，奧特曼將回歸重新擔任執行長，結束這場鬧劇。
事實上根據外媒透露，在被要求下台之前，奧特曼和公司董事會的爭執已持續1年多，隨著OpenAI推出的聊天機器人ChatGPT受到全球矚目，雙方的緊張局勢持續惡化。奧特曼一度採取行動，希望趕走一名董事會成員，因為他認為，這名董事會成員與他人一同撰寫的研究論文實質是在批評公司。
但針對無預警開除奧特曼，並對解雇的原因OpenAI一直含糊其辭，董事會在一篇部落格文章中提到，奧特曼下台是因為他在與董事會的溝通中「始終不坦承」。一名知情人士表示，董事會成員對奧特曼愈來愈不信任，以至於他們認為有必要對奧特曼告知的所有事情進行反覆查核。另外也有董事會成員認為，奧特曼過度專注於擴張，而董事會則希望能在成長與AI安全之間取得平衡。
根據3名參與視訊會議的人士透露，奧特曼被趕下台後，OpenAI高層在視訊通話中與其他董事會成員對峙。高層團隊向董事會表明，不好好說明，這一切結果將很難被接受，知情人士表示，在大約40分鐘的視訊會議中，高層持續向董事會施壓，要求提供奧特曼不夠坦誠的具體例子，都被董事會以法律因素回絕了。
OpenAI執行長奧特曼（右）曾傳出與合作夥伴特斯拉執行長馬斯克（左）多次意見不合，最終導致馬斯克出走。（法新社、美聯社資料照，本報合成）
OpenAI董事會一直不合
OpenAI董事會問題並不是第一天的事，最早可以追溯到這家新創剛成立時。2015年奧特曼和特斯拉執行長馬斯克（Elon Musk）一同成立一個非營利組織來打造人工智慧，他們原計劃從私人捐款者那裡募集資金，但在短短幾年內，他們就意識到這項計劃所需的資金，遠遠超過獨立募款可以籌得的資金。
由於高層之間意見嚴重不合，奧特曼和馬斯克之間關係出現裂痕，這也導致馬斯克在2018年離開這家公司。幾年後，OpenAI內部再度出現不合，在安全問題上發生衝突後，一群關鍵的研究人員離開，成立對手企業Anthropic。
馬斯克離開後，他們成立了一家營利的子公司，並開始從投資人身上籌得數十億美元，其中也包括科技巨頭微軟（Microsoft）注資的10億美元（約新台幣315億元）。該公司在官網上表示，子公司由非營利董事會控制，每名董事要負責任的對象是「人類」，而不是OpenAI的投資人。
首席科學家蘇茨克維是投票通過將奧特曼開除的董事會成員之一，引起風波後，蘇茨克維的態度也急轉彎，加入員工連署支持奧特曼回鍋。（法新社資料照）
董事會成員 對AI發展認知相左
據報，奧特曼被趕下台背後的因素，包括他與董事成員、喬治城安全與新興技術中心策略總監托納（Helen Toner）的衝突。在被解僱的幾週前，奧特曼會見了托納，雙方討論了托納為喬治城安全與新興技術中心撰寫的一篇論文。
奧特曼抱怨，這篇研究論文似乎批評了OpenAI為了維持AI技術做出的努力，同時讚揚了競爭對手Anthropic。奧特曼認為，在聯邦貿易委員會（FTC）正在進行調查的期間，發表這篇論文恐對公司帶來不利影響。
托納則稱，這是一篇學術論文，只是分析大眾在試圖了解國家、企業發展AI時面臨的挑戰。奧特曼卻不這麼認為，並稱，雙方對於這一切造成的損失並沒有達成共識，董事會成員的任何批評都會產生很大的影響。
奧特曼和首席科學家蘇茨克維（Ilya Sutskever）在內的高層討論了是否該將托納從董事會中除名。但由於蘇茨克維對AI的擔憂，最終他和另外2名董事安捷羅（Adam D'Angelo）、麥考莉（Tasha McCauley）選擇與托納站在同一陣線，4人決定開除奧特曼。
OpenAI董事會因針對人工智慧的安全隱憂出現分歧，引爆了這次的「宮鬥」。（法新社資料照，本報合成）
微軟出手 擺平爭議
今年OpenAI共3名董事離任，空缺也加劇了董事會問題。2名知情人士表示，董事會在董事成員接班問題上出現了分歧，在審查4名候選人後，董事未能決定要由誰遞補，這種僵局加劇了執行長奧特曼、總裁布羅克曼（Greg Brockman）和其他董事會成員之間的摩擦。
奧特曼被開除後，布羅克曼也被告知自己將被從董事會除名，布羅克曼隨後也辭職以示抗議。OpenAI最大投資人微軟（Microsoft）隨後也向2人遞出橄欖枝，微軟執行長納德拉（Satya Nadella）在11月19日表示，歡迎奧特曼、布羅克曼帶上相關團隊成員加入微軟，領導高階AI研究團隊。
董事會的行動也引發旗下員工不滿，表明對董事會失去信任，OpenAI員工發起聯署，要求恢復奧特曼的職位，否則將面臨旗下員工大規模離職。根據1名參與連署的人士表示，OpenAI約770名員工，已經有至少743人在幾個小時內簽署了協議，多達96％的員工參與連署。
也有多名高層加入員工連署，其中最受矚目的就是蘇茨克維，在參與投票罷免奧特曼後，蘇茨克維在11月20日上午坦言，對於自己曾參與董事會的行動深感遺憾，並在X發文表示，將盡一切努力讓公司重新團結。
連署信中表示，員工無法再為那些缺乏能力、判斷力以及對員工毫不關心的人工作，或與他們一起工作。並警告，除非董事會總辭，並恢復奧特曼和布羅克曼的職務，否則他們將跟上兩人的腳步，投靠微軟。信中微軟也向這些員工保證，如果他們選擇加入，將在微軟旗下新的子公司找到工作。
在奧特曼被開除後，微軟執行長納德拉一度表示，歡迎奧特曼、布羅克曼帶上相關團隊成員加入微軟。（法新社資料照）
美國前財長桑默斯 董事會新成員
11月22日，OpenAI發佈聲明稱，已達成協議讓先前被開除的奧特曼重返公司擔任執行長，並將組成新的董事會。布羅克曼也跟著奧特曼回到公司，但未來不再擔任董事會成員。
新的董事會將由Salesforce前共同執行長泰勒（Bret Taylor）接任主席，另外有美國前財政部長桑默斯（Larry Summers）和現任董事、Quora創辦人安捷羅擔任董事會成員。
奧特曼也同步發文證實這一消息，奧特曼表示，自己很愛OpenAI，過去這幾天的選擇都是為了團隊，當自己決定加入微軟時，是因為這明顯是最好的一條路。而在新任董事會和微軟執行長納德拉的支持下，自己相當期待重返OpenAI，同時也將鞏固公司與微軟的合作關係。 
    一手掌握經濟脈動",ec
4,ltn,https://ec.ltn.com.tw/article/paper/1623641,2023-12-31 21:30:00,〈財經週報-運動產業〉巴黎奧運助攻 運動產業迎向春天？,"疫後首次全球運動盛事巴黎奧運將於7月舉行，運動產業能否迎向春天，備受關注。（美聯社）記者楊雅民／專題報導揮別疫情期間訂單滿手榮景，2023年運動產業普遍籠罩在高庫存陰霾中，自行車產業陷入中低階自行車庫存塞滿倉庫風暴，製鞋業、高爾夫球、紡織業同樣面臨品牌客戶庫存消化壓力，但隨著疫後首次全球運動盛事奧運即將於2024年7月在法國巴黎舉行，運動產業能否極泰來，迎向春天，備受關注。運動代工廠營運 等待奧運激勵永豐投顧表示，2024年巴黎奧運為COVID-19疫情後第一次舉辦奧運，國際運動品牌大廠競逐奧運商機，台灣運動鞋和成衣代工大廠營運添動能，認為疫情全面解封後，對運動品牌廠及代工廠營運激勵效果值得期待。觀察2004年、2008年與2012年奧運當年，運動品牌Nike營收成長率來到高水位，顯見奧運對運動相關產業有刺激買氣效應。對代工廠而言，Nike運動鞋代工大廠豐泰（9910）在2008年、2011年與2015年奧運前1年或當年營收成長率也來到高點，唯一例外的是2020年東京奧運受到COVID-19疫情衝擊延至2021年7月舉辦，對運動品牌廠及代工廠激勵有限。宏遠投顧表示，運動產業隨全球景氣波動，觀察2009年金融海嘯時，品牌市場規模呈現衰退，金融海嘯後2~3年，品牌商市場規模皆反彈成長。2020年爆發COVID-19疫情，品牌商2021年積極追單，但到了2022年下半年下單轉趨保守，2023年各品牌商積極去化庫存，減少代工廠採購量，造成部份代工廠驚傳大規模裁員。由於Adidas預估2024年鞋類的成長性將優於服飾，加上7月巴黎奧運即將到來，製鞋業可望迎來奧運商機。巨大設越南新廠 提早卡位自行車產業2024年關鍵字為「產能調整」，將等待黎明到來，巨大（9921）為佈局歐盟自行車市場，已宣佈將投入1,500萬美元於越南設立新廠，為2024或2025年自行車產業復甦提早準備。至於高爾夫球產業，觀察2022~2023年喜愛打高爾夫球的人口較2019年大幅成長，且品牌商庫存已大幅下降，隨著產業庫存調整告一段落、且打球人數逐年增加，預期高爾夫球產業2024年商機可期。高球產業 2024年商機可期國泰證期顧問研究部對2024年紡織和製鞋業也持正向看法，觀察成衣代工業從去年（2023年）第四季便受惠奧運新品拉貨，估計營收季增幅度將達3成，未來三季獲利年增翻倍。鞋類代工部份，運動鞋代工廠估計2023年第四季營運持平至小增，今（2024）年上半年受惠於奧運訂單挹注，營運將回到雙位數成長；戶外鞋代工廠春夏款接單將較秋冬款好轉，呈現雙位數增幅，營運最差期間已過。 
    一手掌握經濟脈動",ec
5,ltn,https://ec.ltn.com.tw/article/paper/1623642,2023-12-31 21:30:00,〈財經週報-時事求是〉奧運與股價,"奧運經費龐大支出，並非每個國家都能輕鬆因應。2016年巴西奧運舉辨，讓巴西經濟大衰退提早發生。（法新社）■魏錫賓東京奧運因肺炎疫情延後至2021年舉行，2024年的巴黎奧運成為恢復生活常態的首次奧運。這一盛事，不僅為全球運動迷所期待，對主辦國領導人與企業領導階層來說，也是利用聚光燈突出招牌的機會；不過，奧運的準備、商機與影響，對國家與企業呈現不同的態樣。奧運主辦國的經濟表現，經常有前熱後冷的現象；因為要大興土木，所以先熱，但其後財政受到影響，以及已提早建設，所以經濟後冷。在爭取主辦權之前，至少就要有新台幣上億元的顧問、遊說及其他行政費用等準備支出，取得主辦權後，花費更為驚人，不僅要加強交通等一般基礎建設，也要備齊標準、足夠的運動場館、觀光客與運動員住宿等特定基礎建設。未來多年的建設經費，可能就集中在奧運前幾年用掉。美國智庫外交關係協會（Council on Foreign Relations）估計，2004年希臘雅典以後的奧運成本均超過百億美元，2008年北京奧運花了500多億美元、原訂2020舉辦的東京奧運，估計費用約350億美元。巴西奧運未受益 經濟大衰退提早發生如今的奧運不管是在那一個城市舉辦，都非一時一地的投入能夠順利完成，只能以舉國之力、用數年時間、花費鉅資才能達成目標。就像確定將於2032年主辦奧運的澳洲布里斯本，在熱烈慶祝後，必須研擬、實施、落實各項建設計畫，即使該次奧運是在8年後才將舉辦。準備奧運的龐大支出，並非每個國家都能輕鬆因應。主辦2016年奧運的巴西，曾因擴大公共建設迎來一時的榮景，但經濟大衰退在賽事開始前就提早發生，更引起民眾的大規模抗議；而扣除受全球金融海嘯波及的2009年外，巴西在2000年以後經濟最差的三年集中在2014至2016年，其中2年衰退達3.3%以上。企業與國家的奧運經驗不同。國家的基礎建設要在比賽前完成，但一般消費則不相同，包括門票、交通及食宿費用等的實際消費，主要都發生在奧運比賽期間，而隨著運動賽事的宣傳廣告效果逐漸提高，常會帶動體育用品的購買慾，使得相關廠商的營收有更大機會跟著飆漲；因此，不同產業所感知的奧運商機並不一致。在主辦國，基礎建設相關廠商在奧運前就能獲利，但運動器材、服裝、運動鞋，以及觀看轉播的電視相關零組件等廠商的營收，可能會在不同階段受益，只要處在供應鏈的關鍵位置上，可以樂觀期待將有一波的商機；然而，營收即使增加，從過去的波動可以發現，股價常在基本面發酵前就已反映，漲勢能否持續更長的時間，還是要看更長期的營運表現。奧運商機先反應 未來股價要看長期營運表現企業的營收能否跟著奧運水漲船高，這幾個月將能陸續看出，但歷史經驗顯示，大環境更是影響股價趨勢的關鍵。大盤重挫時，能夠脫穎而出的產業非常有限，而在股市欣欣向榮之時，即使業績未跟上，股價也有往上的機會。 
    一手掌握經濟脈動",ec
6,ltn,https://ec.ltn.com.tw/article/paper/1623643,2023-12-31 21:30:00,〈財經週報-運動產業〉奧運在即 搶先佈局概念股,"巴黎奧運將於7月登場，製鞋和成衣廠等奧運概念股可逢低搶先佈局。（記者魏錫賓攝）記者楊雅民／專題報導2024年巴黎奧運概念股2024年7月全球關注的運動賽事奧運即將在法國巴黎舉行，法人看好製鞋和成衣廠相關族群營運將增溫，包括儒鴻（1476）、聚陽（1477）、豐泰（9910）、百和（9938）、鈺齊-KY（9802）、志強-KY（6768）等奧運概念股可逢低搶先佈局。儒鴻、聚陽 上半年營收成長將高達雙位數法人表示，成衣廠庫存去化已達1年，目前春夏款庫存已處低檔，大客戶訂單回穩，訂單不斷上修，預期儒鴻及聚陽今年上半年營收成長將高達雙位數。若依美國旺季服飾、鞋類銷售觀察，鞋類折扣明顯低於服飾，顯示鞋類庫存新品比重居多；在製鞋產業中，預期中游廠商百和將領先成品鞋廠復甦，2023年第四季受惠奧運新品拉貨，估營收季增幅度達3成，加上子公司百和興業由虧轉盈，未來三季獲利年增將翻倍。Nike運動鞋代工大廠豐泰其品牌客戶庫存已降低，加上奧運商機將激勵客戶推出新產品提升市佔率，預估豐泰今年出貨量將有機會成長至1.3億雙，年增逾8%，年營收將挑戰955億元，稅後淨利可望衝破70億元，年增3成。志強-KY2024年在Nike和Adidas兩大客戶庫存調整結束，適逢奧運年，品牌廠加強下單力道，預估全年出貨量將達3,700~3,800萬雙，年增20~25%，稅後淨利也可望倍增至11.37億元，每股稅後盈餘5.8元。鈺齊-KY營運最差期間已過去戶外鞋代工大廠鈺齊-KY春夏款接單將較秋冬款好轉，呈現雙位數增幅。法人認為，鈺齊-KY營運最差期間已過，並成為外資推薦的亞太鞋類製造商當中的首選個股，認為鈺齊今年有多元化的成長驅力，包含市占率提升、產品別擴張，未來將維持多年的獲利成長。 
    一手掌握經濟脈動",ec
7,ltn,https://ec.ltn.com.tw/article/paper/1623644,2023-12-31 21:30:00,〈財經週報-運動產業〉製鞋庫存調整告段落 今年重啟正成長,"製鞋業營運表現記者楊雅民／專題報導國際大廠庫存調整接近尾聲，加上巴黎奧運將登場，鞋類代工廠將緩步復甦，迎接奧運商機。（記者魏錫賓攝）鞋類代工廠2023年受到品牌客戶調整庫存影響，訂單銳減，寶成集團越南製鞋廠甚至爆出3波裁員，2024年隨著品牌商Nike和 Adidas等國際大廠庫存調整接近尾聲，加上4年1次的國際運動賽事-奧運將於巴黎舉行，將有助於提高客戶下單意願，代工廠將緩步復甦，迎接奧運商機。永豐投顧表示，觀察2004年、2008年與2012年舉行奧運的那一年，運動品牌Nike營收成長率皆來到高水位，顯見奧運有刺激買氣效應。2024年巴黎奧運為COVID-19疫情後第一次舉辦奧運，國際運動品牌大廠預期將競逐奧運商機，品牌商買氣升溫，寶成（9904）、豐泰（9910）、志強-KY（6768）、鈺齊-KY（9802）等運動鞋及戶外鞋代工大廠，營運動能也將同步受到激勵。元大投顧表示，運動鞋品牌客戶仍在去化庫存，但谷底已過，2024年品牌商Nike和Adidas庫存調整接近尾聲，預期寶成轉投資的裕元來自品牌客戶的製鞋業務訂單也可望落底回升，且零售通路業務回溫，預估寶成2024年營收將重啟正成長，本業獲利回升確立。奧運題材挹注 豐泰重啟擴產步伐豐泰是Nike運動鞋主要代工大廠，Nike單一客戶營收占豐泰的營收比重高達8成以上，2023年由於Nike訂單調整，豐泰擴產腳步放緩，營收呈現負成長，預期2024年Nike訂單回籠，且巴黎奧運題材挹注，豐泰也會重啟擴產步伐，創造營運成長動能。足球鞋代工大廠志強-KY表示，從30幾年的製鞋經驗觀察，即便2008年全球爆發金融海嘯，庫存消化僅半年就逐步完成，但這次COVID-19疫情後，庫存消化時間卻特別久，預估客戶庫存應會在今（2024）年3月消化完。鈺齊也認為，今年法國巴黎奧運將有助於提高客戶下單意願，對公司今年營運展望正向看待。運動鞋市場 預估年增6%宏遠投顧表示，2023年運動鞋品牌商積極去化庫存，減少上游代工廠採購量，連帶影響代工廠營收，預期2024年，在Nike和Adidas兩大品牌商存貨水準已來到相對低檔水準，加上適逢法國巴黎奧運，鞋類成長性將優於服飾，運動鞋市場規模將成長至1,035億美元，年增率6%。 
    一手掌握經濟脈動",ec
8,ltn,https://ec.ltn.com.tw/article/paper/1623645,2023-12-31 21:30:00,〈財經週報-運動產業〉自行車庫存調整慢 回到健康水位等年中後,"自行車族群營運表現記者楊雅民／專題報導自行車產業將持續調整庫存，預期今年第二季後，才會緩步回到健康水位。（資料照）自行車產業在疫情期間受惠於人們避免近距離接觸，訂單大爆發，2023年隨著COVID-19疫情解封，中低階自行車卻出現庫存塞滿倉庫的風暴。法人認為，自行車產業2024年關鍵字為「產能調整」，預料庫存調整將持續，靜待黎明到來。2020年全球籠罩在COVID-19疫情風暴中，各行各業一片哀鴻，但自行車產業卻逆勢成長，疫情期間，自行車產業最常出現的關鍵字為「爆單」，但從2022年下半年開始，產業急速轉入寒冬，接連出現「雪崩」、「破產」、「裁員」等關鍵字。第二季後 	 就會緩步回到健康水位巨大（9921）表示，2024年中國自行車市場應該還不錯，但短期內仍要面對歐美地區持續去化庫存，以及產能利用率降低、升息影響等挑戰，預期庫存去化在今（2024）年第二季後，就會緩步回到健康水位。美利達（9914）指出，集團庫存金額至去年第三季底降至約90億元，主要來自台灣廠的庫存下降，台灣廠庫存從去年初約50億元，至第三季底已下降至30億元，主要是台灣廠庫存以零件為主，消化速度較快，同樣預期今年第二季庫存可望有效紓解，第三季庫存會有較明顯改善。高階自行車組裝廠明係（6804）表示，中高價位自行車庫存去化可能要到2024年第三季，但通膨影響消費者的購買力，且地緣政治風險持續，庫存去化速度會持續受到影響。自行車零組件廠營收成長 將優於成車廠宏遠投顧觀察，疫情期間，自行車零組件公司營收成長性優於成車廠，顯示在庫存調整期間，成車廠衰退幅度相較零組件少。且觀察去年第三季自行車成車廠存貨金額相較高點下滑11~15%，零件廠下滑19~35%，顯示零組件去化庫存優於成車廠，假設2024年或2025年自行車產業復甦，自行車零組件廠營收成長性將優於自行車成車廠。 
    一手掌握經濟脈動",ec
9,ltn,https://ec.ltn.com.tw/article/paper/1623646,2023-12-31 21:30:00,〈財經週報-運動產業〉高爾夫族群走過谷底 將重返旺季軌道,"高爾夫球族群營運表現記者楊雅民／專題報導高爾夫球用品庫存調整告一段落，第四季將進入出貨旺季。（記者魏錫賓攝）高爾夫球用品庫存調整告一段落，隨著產業進入出貨旺季。法人表示，高爾夫球桿頭代工業營運可望由谷底快速回升，但明揚（8420）大火恐讓2024年高爾夫球產業埋下變數。高爾夫球具代工業經歷兩年的營運高峰後，去年（2023年）同樣面臨疫情期間客戶大量叫貨囤積，造成客戶面臨至少半年的庫存調整壓力，連帶影響到高爾夫球桿頭代工廠復盛應用（6670）、明安（8938）、大田（8924）、鉅明（8928）的營收和獲利。復盛應用表示，去年11月營收受惠於進入傳統出貨旺季，單月達23.56億元，為11個月以來新高，但因2022年基期高，仍年減22.7%，由於新品訂單已陸續到手，越南廠目前產能已滿載，中國廠可供部份新單生產。復盛應用以在手訂單觀察，2023年第四季營收將比第三季和第二季好，出貨旺季並有機會延續到今年首季，今年旺季營收可望維持正成長，全年可望有高個位數的成長。明揚屏東舊廠大火 高爾夫球產業埋變數高爾夫球代工廠明揚去年原本訂單樂觀，連4個月單月營收超過3.5億元，但屏東舊廠去年9月遭大火吞噬，被勒令停工，造成明揚10月和11月營收已銳減至1,203萬和2,310萬元，年減逾9成，連帶重創台灣高爾夫球出口量。明揚去年第三季認列13.29億元的災害損失，造成第三季稅後虧損10.08億元，每股虧損18.31元；母公司明安（8938）去年第三季獲利也遭波及，稅後虧損3.85億元，每股虧損2.8元。零售庫存仍高 品牌商庫存已大幅下滑宏遠投顧表示，觀察2023年1~10月美國打球人數成長3.3%，高爾夫1-8月零售額衰退1.5%，品牌商（Callaway與Titleist）1~9月營收成長8.5%，國內代工廠前三季營收衰退逾30%，代表終端零售庫存仍高，但品牌商庫存已有大幅下滑情況。全球高爾夫球市場年需求量1～1.2億打，其中市占率排名分別為Titleis40~45%（4,000~4,100萬打）、Callaway市佔率15~20%（1,800~1,900打）、BridgeStone市佔率10~15%（1,200~1,300萬打）、Srixon10~12%（900~1,000萬打）、TaylorMade市佔率10~12%（900~1,000萬打）。明揚2022年全年出貨量2,163萬打，在全球高爾夫球市佔率約在19~20％，其中出貨給Callaway1,300~1,350萬打、Taylormade300~350萬打、BridesStone150~200萬打，其他客戶300~350萬打。宏遠投顧觀察，Callaway生產端主要以麻州自有工廠，以及明揚、明珠（中國）為主。其中以明揚貢獻度最高，若以2022年出貨量推估，明揚在Callaway滲透率約71~72%。Taylormade主要以宇榮、明揚、豐泰、韓國廠商為主，以2022年出貨量推估，明揚在Taylormade滲透率約34~35%。如今，明揚屏東舊廠遭火災燒毀，被迫停工生產，恐讓高爾夫球產業埋下變數。 
    一手掌握經濟脈動",ec
10,ltn,https://ec.ltn.com.tw/article/paper/1623647,2023-12-31 21:30:00,〈財經週報-本週熱點〉外匯存底有望續創新高 CPI漲幅續降,"美元持續走貶，12月底外匯存底有望續創新高。（歐新社）記者陳梅英／專題報導本週有三大重要數據公佈︰首先，中經院將公布12月製造業採購經理人指數（PMI）仍等待春燕，預估續呈緊縮；中央銀行統計的2023年12月底外匯存底有望續創新高；行政院主計總處將發布12月底消費者物價指數（CPI）年增率將續降。12月PMI 預估續呈緊縮根據中經院資料，2023年11月PMI微跌至46.8，已連續9個月低於50，呈現緊縮態勢。中經院表示，在大環境不佳情況下，整體製造業仍等待燕群與曙光到來。惟非製造業經理人指數（NMI）於11月回升至56.2，已連13個月擴張，創下2022年8月以來最快擴張速度。另外，我國外匯存底在連續3個月減少後，2023年11月受惠於外匯存底投資收益、美元走貶以及央行「阻升」三因素，月增64.38億美元，使我外匯存底在11月來到5,675.17億元，創下史上新高。由於市場對於聯準會（Fed）即將結束升息循環預期增強，12月美元持續走貶，外匯存底中外幣資產轉換成美元增加，加上台幣在最後一週猛升，央行進場買匯，維持秩序，預期2023年12月外匯存底將續創新高。同時，2023年外匯存底年增逾百億元。主計總處本週將公布2023年12月CPI年增率也將隨蔬果漲幅收斂而持續下滑。根據主計總處統計，2023年11月CPI回落至3%以下，為2.9%，扣除蔬菜、水果、能源後的總指數，核心CPI年增2.38％，創21個月來最低漲幅。17項重要民生物資CPI年增率為3.46%，連續4個月下滑，也創21個月來最低增幅。主計總處指出，由於原油價格跌破80美元，蔬果價格若無特別天後因素也將下跌，預估12月CPI漲幅將持續縮小。 
    一手掌握經濟脈動",ec
