system_id,artTitle,artUrl,artDate,artCatagory,artContent,dataSource
1,她勞保多繳4年！少領近57萬 問題竟出在最後3年｜東森新聞,https://news.ebc.net.tw/news/article/397623,2023-12-24 10:59:00,財經,一名擁有26年年資的女性上班族，4年前離職退保，原本一次領可領169.46萬元，後來離職接案，卻選擇加入職業工會，以最低薪資2.5萬元繼續投保，最後少領了近57萬。對此，勞保達人張秘書也做出解釋。YouTube頻道「勞工朋友的祕書～張秘書」在一則影片中分享一個案例，一名52歲勞工年資26年，因職業倦怠不想再朝九晚五，決定改在家接案工作，她雖已符合一次領的資格，卻選擇加入職業工會，加保4年。張秘書以這個例子試算，經過四年的職業工會加保，當小倩決定請領一次給付年金時，卻發現因為最後三年的平均投保薪資僅為2.5萬元，按照勞保局的規定，一次請領的給付金額相對較低，25000元×45個基數＝1125000元。如果小倩當初選擇直接一次請領，擁有26年年資的她可以按照37個基數計算，而最終的給付金額高達169.46萬元，45800元×37個基數＝1694600元。也就是說，小倩勞保多繳4年，反而少領了56萬9600元。張秘書強調，如果勞工選擇一次請領老年給付，務必注意最後3年的投保資薪必須保持在最高水平，否則可能會得不償失。一、必須是離職退保狀態下。二、平均月投保薪資是取最後3年。三、基數算法，前15年一年一個基數，第16年開始每年算二個基數。四、60歲以前年資上限是30年。五、年資未滿30日，以一個月計算。一、保險年資合計每滿1年，按其平均月投保薪資發給1個月。二、保險年資合計超過15年者，超過部分，每滿1年發給2個月，最高以45個月為限。例如：年資26年，其給付年資15+22＝37（個基數）。三、被保險人逾60歲繼續工作者，其逾60歲以後之保險年資，最多以5年計，合併60歲以前之一次請領老年給付，最高以50個月為限。,EBC
2,她薪水全丟這！存百萬竟遭18歲表弟嗆：不如阿公那輩｜東森新聞,https://news.ebc.net.tw/news/article/397656,2023-12-24 14:16:00,財經,面對低薪，除了斜槓，大家也會選擇投資。一名女網友表示，才高中的表弟嘲笑她只懂存錢，投資理財的等級比阿公那輩還不如，讓她開始想要改變。原PO在Dcard指出，因為父母沒有投資的習慣，家庭教育也一直跟她反覆告誡投資有風險，股票可能會讓人賠到跳樓，所以長大賺了錢也只會存起來，甚至直到前年才知道一樣是存錢，存到實體開戶的銀行，跟存到數位帳戶利息差很多，所以薪水都是每月固定轉Bankee領利息。原PO透露，親戚聚會的時候聊到理財，才發現現在的高中生都很有想法，也敢於付諸行動，明明還沒出社會賺錢，但賺錢的方法很多，才18歲已經看好要買哪支股票，「表弟問我買股票有沒有賺錢，我說沒有買後，還被他嘲諷，說我只懂存錢，投資理財的等級比阿公那輩還不如，阿公30年前都知道買股票、固定領股息，我這樣根本不算現代人，還是趕快找個有錢男人嫁了。」原PO附上近200萬的存款嘆，平時會逛理財板，看到很多人分享自己千萬存款或幾歲存到百萬，其實覺得很羨慕，也想改變，「2024年開始想要開始投資一點股票，或者多做點副業增加收入，目前已經有申請證券開戶了，不曉得大家有沒有推薦的。」貼文一出，不少人紛紛留言「不會覺得自己比沒買股票的人厲害，任何事情只要想開始都不嫌晚，ETF自己慢慢爬文，投資不要隨意相信他人」、「沒有說存銀行就是不好的投資，投資確實也有風險，不懂理財穩穩存銀行也不吃虧」、「股票也可能賠錢，你這樣列，感覺太理想了」。文章來源：她拿到薪水全丟這⋯「百萬存款」曝光18歲表弟酸：比阿公那輩還不如由CTWANT授權轉載。,EBC
3,陽明海運年終落差超嚴重！去年13個月 今年數字嚇死人｜東森新聞,https://news.ebc.net.tw/news/article/397802,2023-12-25 12:13:00,財經,在疫情期間，航運相關產業可以說是獲利頗豐，陽明海運在2022年的年終就高達13個月，羨煞不少民眾。但現在有消息指出，陽明海運於日前召開董事會，決議今年年終獎金僅1個月，加上每年固定的第13個月薪資，形同年終獎金僅2個月，與去年相比有著不少的落差。據了解，陽明海運去年年終有13個月，2023年的年度分紅也有20個月，整個加起來多達33個月之多。但根據媒體報導指出，在陽明海運的董事會上，決議年終獎金僅有1個月。而報導中也推估2024年的年終分紅也僅有1個月，加上固定的第13個月薪資，總和僅3.2個月。但好消息是，陽明海運將比照公務員標準，明年為員工加薪4%。報導中也提到，由於陽明海運具有官股性質，年終獎金最多只能發12個月，但是在分紅制度方面，陽明海運明訂稅前獲利1%為員工紅利，這數字遠高於長榮海運的0.5%與萬海的0.6%。,EBC
4,勞保紓困貸款最高拿10萬元 申請4條件曝光！｜東森新聞,https://news.ebc.net.tw/news/article/397804,2023-12-25 13:02:00,財經,勞工快看過來！今（25）日，勞動部公告113年勞保紓困貸款將在1月5日開放申請，受理至113年1月19日截止，每人最高可貸10萬元，貸款期間3年，其也列出貸款申貸資格4條件，若有符合資格的勞工，記得於受理時間申請。勞動部表示，為了要協助勞工朋友度過農曆年前經濟困難，113年勞保紓困貸款將於113年1月5日正式開辦，受理至113年1月19日截止，每人最高可貸10萬元，貸款期間3年，年利率目前為2.04％，前6個月按月付息不還本，第7個月起按月平均攤還本息。1.生活困難需要紓困2.參加勞工保險年資滿15年（計算至受理截止日113年1月19日止）3.無欠繳勞工保險費及滯納金4.未曾借貸勞保紓困貸款，或曾借貸已繳清貸款本金及利息者勞動部指出，若是已請領老年給付、終身無工作能力之失能給付或向其所屬機關請領勞工保險補償金者，則不得申請勞保紓困貸款。申辦本項貸款無需繳交任何費用；每人限申請1次，重複申請者不予受理。另外，符合資格且有需求之勞工朋友，可以於受理申請期間，透過網路、臨櫃或郵寄等方式，向土地銀行各地分行或其委託之金融機構提出申請。對此，勞動部也呼籲，為了減少民眾臨櫃排隊久候時間，請多加利用網路申請，例假日亦可使用，既省時又方便。此外，勞動部勞工保險局在2023年的尾聲，將陸續完成11項給付的入帳作業，預計今日發放國民年金保險老年基本保證年金、國民年金保險原住民給付；周四（28日）則預計發放勞保年金給付、職保年金給付、勞退月退休金（首發案）。周五（29日）將有另外6項給付入帳，包括產檢假與陪產檢及陪產假薪資補助、國保身心障礙年金給付併計勞保年資、國民年金保險老年年金給付、國民年金保險身心障礙（基本保證）年金、國民年金保險喪葬給付、國民年金保險遺囑年金。詳情請治土地銀行客服專線（02）2314-6633及其所屬分行或其委託金融機構，土地銀行於連江縣馬祖地區無營業據點，委託連江縣農會受理；或電洽勞保局服務專線（02）2396-1266。,EBC
5,台塑四寶獲利衰！年終3.5個月恐無望 創11年低｜東森新聞,https://news.ebc.net.tw/news/article/397811,2023-12-25 13:51:00,財經,舞台上辣妹勁歌熱舞，炒熱現場氣氛，年底員工最期待的就是年終尾牙，不過傳產龍頭台塑集團，考量剛搬遷到內湖新總部，今年尾牙還是再度停辦，而年終獎金恐怕還會讓員工小失望，因為可能創下近11年最低，不到3.5個月。台塑企業全國聯合會理事長陳鴻儒：「外界所傳的要（EPS）2.43元，（年終）才能達到3.5個月，好在是說公司跟工會有做一個協商，最低保障是3個月，最高7個月。」攤開歷年台塑年終大紅包，110年獲利爆發，員工年終領到最高上限7個月，羨煞不少人，但去年開始受到國際油價、石化行情趨緩影響，略為縮水，而今年可能不只保不了3.5個月，就連工會想積極爭取的3.3個月，恐怕也很艱難。財經專家邱敏寬：「台塑四寶在年底的時候，又遭遇到整個EAFC當中的特殊產品限制，那就目前來說，這個限制到選後會不會開放，要持續來做觀察。」尤其在通膨升息壓力干擾下，讓中國大陸經濟復甦不如預期，即使第三季油價強彈，但台塑四寶前三季稅後純益，仍是452億元年減60.8％，財經專家邱敏寬：「明年的經濟成長率，目前七大機構來估，大概都有到3％以上，今年對台塑四寶相對比較保守，但是我對於明年倒是會比較樂觀一些，因為明年的傳統產業跟電子產業，特別是在通訊跟AI這一塊，擴張性會比較大一點。」不過明年台塑是否將會出現變動，資深媒體人臉書及內部員工，都爆出明年台塑四寶將有人事大地震，但台塑集團對相關謠言皆不予置評，要專注在公司營運，期許在新的一年，能繼續全力衝刺。,EBC
6,中鋼元老陳振榮辭世！業界緬懷：生前海派人緣好｜東森新聞,https://news.ebc.net.tw/news/article/397853,2023-12-25 16:18:00,財經,中鋼前總經理陳振榮參與公司從無到有個階段的擴建歷程，在業界享有很高聲譽，但晚年飽受癌症摧殘住進安寧病房，今（25日）凌晨辭世，享壽77歲，令人不勝唏噓。陳振榮出生高雄鳳山，成大礦冶系畢業後考進中鋼。其實他出身政治世家，叔叔陳義秋外號「鳳山虎」，政商實力雄厚，但他沒走政治一途，而在1990年代擔任中鋼總經理，是中鋼黃埔一期員工，從基層做起，一晃眼就是12年。中鋼民營化過程中，他憑著自己的人脈，帶領團隊和立法院朝野充分溝通，讓中鋼從國營轉為民營，也慢慢奠定基礎，成為台灣最大的鋼鐵企業。陳振榮如今傳出病逝，各界紛紛緬懷不捨。中鋼幹部對他「大口吃肉、大口喝酒」、「你兄我弟」的豪邁性格印象深刻，稱讚對方是性情中人，很喜歡交朋友，公司公關經他之手都很順遂，對公司基層非常親切，對幹部卻非常嚴格，要幹部以身作則。老中鋼鐵人回憶，陳振榮當年帶領中鋼民營化，最難能可貴的是「創造一個時代，又交棒給下一代」，在翁朝棟的帶領創下建廠50多年來最高營運與獲利績效，陳振榮退休後每次提到此事，都與有榮焉，中鋼不少傑出幹部也經常拍胸脯大聲說：「陳振榮就是我永遠的長官」。文章來源：中鋼前總座陳振榮辭世享壽77歲業界緬懷：生前海派人緣好由CTWANT授權轉載。,EBC
7,從查帳員變百億散戶大神 陳族元封神之路曝光｜東森新聞,https://news.ebc.net.tw/news/article/397945,2023-12-26 14:57:00,財經,散熱模組大廠雙鴻（3324）11日表示，大股東鄭雅蘋暨其配偶陳族元買賣股票4667張，獲利約1.479億元，雙鴻依法行使歸入權，利益歸於公司。而陳族元是股民口中的「散戶大神」，封神之路讓許多人羨慕。雙鴻12月11日發出公告，公司接獲財團法人證券投資人及期貨交易人保護中心來函通知，大股東鄭雅蘋暨其配偶陳族元於今年5月3日至6月29日間買賣本公司股票（或公司發行具有股權性質之其他有價證券）4667張，並認定依證券交易法相關規定計算獲有差價新台幣1億4794萬5418元，雙鴻應依法行使歸入權，將其利益歸於公司。其實陳族元頗有知名度，是股民口中的大神。根據財訊報導，1975年出生、還不到50歲的他，過去就在雙鴻上班，因為無法看盤，在一場會議結束後，陳族元持股大虧近500萬元，讓他認定若是要專心投入股市操作，就應捨棄工作，避免顧此失彼的情況。從陳族元近年來的操作模式來看，似乎更偏向徹底了解基本面後，再重押一檔股票，這些年從已知的陽明、華航、中興電，再到這次的雙鴻，檔檔重押數十億元，也讓他成為許多股民心中的大神。,EBC
8,台積電不來了！桃「超級蛋殼區」工業用地未跌反漲｜東森新聞,https://news.ebc.net.tw/news/article/397951,2023-12-26 10:00:00,財經,台積電日前宣布放棄進駐桃園龍潭擴廠，但當地產業園區的工業用地價格還是持續上漲。根據房仲業者統計，桃園五大產業園區當中，最近三年漲幅最多的就是觀音產業園區，土地均價平均漲了六成一；另外龜山和華亞科技排二三名漲幅分別是，四成八和三成四；大園和中壢產業園區，地價也都上漲超過3成。工業用地單價最高的是華亞科技園區，每坪平均要價62萬，龜山產業園區每坪也要52萬。房仲業者預估，桃園因為具備產業，交通和人才等，投資環境的區位優勢加上又是電子製造，光電和半導體中下游的供應鏈重鎮，也成為台商回流設廠首選地點，地價也持續看漲。,EBC
9,0056高股息ETF的經典？專家讚：薑還是老的辣｜東森新聞,https://news.ebc.net.tw/news/article/397975,2023-12-26 15:03:00,財經,阿格力指出，聖誕節回顧2023一整年的ETF表現，發現元大高股息（0056）還是相當剽悍，根據財經M平方的統計，截至2023/12/22為止，含息報酬率為51.99％。不僅配息報酬有9.31％，資本利得也有42.68％。這樣的績效表現是勝過相當多高股息ETF晚輩的，甚至強過今年大盤績效相當多，果然薑還是老的辣。而且六月換股後的含息報酬也有18.19％，當期新增的就有近期因為AIPC狂飆的宏碁（2353），顯見0056唯一市場上會預測未來一年現金殖利率高的策略，確實提前納入了基本面轉強的公司。相信很多人會好奇，那明年展望如何？我覺得既然是高股息ETF，那就來檢視一下股息表現。首先領股息就要看「填息能力」，這一點0056在過去13年毫無掉漆，通通配多少就填多少，投資者看得到也吃得到。再來，2024的配息底氣這就非常重要了，大家可以查可分配收益有多少，而不是看過去的股息多寡而已。幫大家查了一下0056的「不含資本利得可分配收益」是4.91元，以每年配2元出頭來說，可配個兩年多都足夠，重點是每一年還有每一年的成份股的股利收益挹注，所以股利底氣是滿滿滿。阿格力表示，最近觀察蠻多高股息ETF的配息已經開始縮水，如果以明年預估的殖利率來看，0056會是同類ETF中的佼佼者。而且之前調整成分股從30檔變成50檔，我覺得持股數多也分散了特定成分股對績效的影響。加上配息也改成1、4、7跟10月的季配息，又納入平準金制度，0056雖然是高股息ETF中掛牌最早，不過選股邏輯跟股利政策都有與時俱進。至於非常多粉絲會問說今年這麼多高息ETF都漲很多了，還可以買嗎？我的答案是要有「策略」，ETF畢竟跟個股不同，單一公司就算定期定額可能會買到倒閉，不過ETF會定期汰弱留強，像12月的56又進行過換股，賣出漲多的，買進有潛力高股利的公司。因此定期定額拉長時間，靠配息降低成本，以及下跌時也買到更多股數來降低成本，才是輕鬆又有效的策略。另一種策略是波段，既然填息率過去13年是100％，除息後加碼也不失為一個作法。-最後買進日：2024/1/16(二)-除息日：2024/1/17(三)-配息日：2024/2/21(三)點擊看0056更多資料https://pse.is/5h2gtw,EBC
10,前11月獲利出爐？14家金控預估股利搶先看｜東森新聞,https://news.ebc.net.tw/news/article/398086,2023-12-27 10:43:00,財經,在美國暴力升息、股債雙殺、防疫保單虧損三重打擊下，存股族最愛的金融股沉寂在牆角好一段時間；不過，隨著利空陰霾逐漸消散，檢視國內14家金控今年前11月獲利，已撥雲見日。專家表示，受惠基期低及明年股債市仍有上漲空間，金控股將回復往日光景。「金融業最壞的時刻已經過去了！」財經專家孫慶龍強調，14家金控歷經2022年低潮，終於一甩陰霾，逐漸站穩腳步。台新投顧副總黃文清也表示，倘若美國明年經濟軟著陸，股債有上漲空間，金融業便能維持以往獲利水準。事實上，11月獲利出爐後，金控全年成績單大致底定；除新光金外，其餘金控累積前11月EPS（每股盈餘）均為正值，其中，富邦金、國泰金、中信金霸榜前3名，繳出了5.04元、3.58元、2.77元佳績，均超越去年全年EPS；另外，永豐金、中信金前11月EPS為1.53元、2.77元，則較2021全年高基期成長5.9％及1.4％，表現亮眼。「獲利增加、股利就會增加，股價自然會上漲。」投資達人、暢銷書作家股海老牛強調，現在確實是入手金融股的好時機。,EBC
